Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
64	2343.044049	48.407944	3870.000000	0.087698	114251.000000	68.933402
69	4606.585973	67.881650	6446.000000	0.136206	114251.000000	73.984871
74	5015.252551	70.867492	6430.000000	0.125158	114251.000000	76.931734
79	5787.141159	76.078789	6926.000000	0.132452	114251.000000	81.731606
84	8905.240054	94.356814	10202.000000	0.196333	114251.000000	86.282112
89	9770.700982	98.893278	10984.000000	0.224695	114251.000000	94.470322
94	5300.811658	72.855512	6024.000000	0.140003	114251.000000	99.011030
99	4045.738265	63.727733	4824.000000	0.135683	114251.000000	103.274579
104	2887.518729	53.729971	3550.000000	0.129303	114251.000000	106.943147
109	1378.968440	37.324582	1907.000000	0.137878	114251.000000	111.571207
114	9425423.419784	7499065.962202	544.000000	0.095894	114251.000000	115.258294
134	1974.981242	44.446764	2413.000000	0.049337	114251.000000	138.249324
139	14612.576373	120.853282	16274.000000	0.323260	114251.000000	139.136942
144	6304.413180	79.423564	6797.000000	0.122935	114251.000000	146.142073
149	12819.227515	113.220152	13903.000000	0.223477	114251.000000	152.788054
154	16542.137839	128.834574	17630.000000	0.242557	114251.000000	157.747274
159	12007.858426	109.622742	12990.000000	0.154362	114251.000000	159.820049
